item code,item label,item type,item status,text type,text content,text type,text content,media url,price currencyid,price quantity,price value,price tax rate,attribute code,attribute type,subproduct code,product list type,property value,property type,catalog code,catalog list type
6104-1080,Aceite para motor a gasolina 4 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL,long,long selection description,products/219-aceite-para-motor-a-gasolina-4-tiempos-motul-5000-10w40-1l-semisintetico-3.jpg;products/219-aceite-para-motor-a-gasolina-4-tiempos-motul-5000-10w40-1l-semisintetico-4.jpg,MXN,1,192,192,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1008,Aceite para motor a gasolina 4 tiempos MOTUL ,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL ,long,long selection description,products/221-aceite-para-motor-a-gasolina-4-tiempos-motul-3000-20w50-1l-mineral-3.jpg;products/221-aceite-para-motor-a-gasolina-4-tiempos-motul-3000-20w50-1l-mineral-4.jpg,MXN,1,167,167,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1089,Aceite para motor a gasolina 4 tiempos MOTUL ATV,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL ATV,long,long selection description,products/216-aceite-para-motor-a-gasolina-4-tiempos-motul-atv-utv-10w40-1l-3.jpg;products/216-aceite-para-motor-a-gasolina-4-tiempos-motul-atv-utv-10w40-1l-4.jpg,MXN,1,289,289,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6101-1015,Aceite suspension MOTUL,default,1,short,Aceite suspension MOTUL,long,long selection description,products/227-aceite-suspension-motul-fork-expert-sae-10w-1l-technosynthese-3.jpg;products/227-aceite-suspension-motul-fork-expert-sae-10w-1l-technosynthese-4.jpg,MXN,1,217,217,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6101-1014,Aceite suspension MOTUL ,default,1,short,Aceite suspension MOTUL ,long,long selection description,products/228-aceite-suspension-motul-fork-expert-sae-5w-1l-technosynthese-4.jpg;products/228-aceite-suspension-motul-fork-expert-sae-5w-1l-technosynthese-5.jpg;products/228-aceite-suspension-motul-fork-expert-sae-5w-1l-technosynthese-6.jpg,MXN,1,205,205,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6103-1003,Aceite transmision MOTUL,default,1,short,Aceite transmision MOTUL,long,long selection description,products/230-aceite-transmision-motul-transoil-expert-10w40-1l-technosynthese-3.jpg;products/230-aceite-transmision-motul-transoil-expert-10w40-1l-technosynthese-4.jpg,MXN,1,179,179,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6213-1001,Aditivo refrigerante MOTUL ,default,1,short,Aditivo refrigerante MOTUL ,long,long selection description,products/236-aditivo-refrigerante-motul-mocool-500ml-2.jpg,MXN,1,242,242,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6202-1007,Anticongelante MOTUL,default,1,short,Anticongelante MOTUL,long,long selection description,products/223-anticongelante-motul-motocool-expert-37c-1l-3.jpg;products/223-anticongelante-motul-motocool-expert-37c-1l-4.jpg,MXN,1,148,148,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1316, 7604-1317, 7604-1318",Botas cortas con protecciones monty café ALPINESTARS,default,1,short,Botas cortas con protecciones monty café ALPINESTARS,long,long selection description,products/407-botas-cortas-con-protecciones-monty-cafe-alpinestars-1.jpg;products/407-botas-cortas-con-protecciones-monty-cafe-alpinestars-2.jpg,MXN,1,6364,6364,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1288, 7604-1289",Botas cortas con protecciones monty negro ALPINESTARS,default,1,short,Botas cortas con protecciones monty negro ALPINESTARS,long,long selection description,products/408-botas-cortas-con-protecciones-monty-negro-alpinestars-1.jpg;products/408-botas-cortas-con-protecciones-monty-negro-alpinestars-2.jpg,MXN,1,6365,6365,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1291, 7604-1292",Botas cortas con protecciones rayburn café ALPINESTARS,default,1,short,Botas cortas con protecciones rayburn café ALPINESTARS,long,long selection description,products/409-botas-cortas-con-protecciones-rayburn-cafe-alpinestars-1.jpg;products/409-botas-cortas-con-protecciones-rayburn-cafe-alpinestars-2.jpg,MXN,1,6365,6365,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1312, 7604-1313, 7604-1314, 7604-1315",Botas cortas contra agua ridge waterproof negro ALPINESTARS,default,1,short,Botas cortas contra agua ridge waterproof negro ALPINESTARS,long,long selection description,products/410-botas-cortas-contra-agua-ridge-waterproof-negro-alpinestars-1.jpg;products/410-botas-cortas-contra-agua-ridge-waterproof-negro-alpinestars-2.jpg,MXN,1,6196,6196,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1159, 7604-1160, 7604-1161",Botas cortas s-mx 1.1 negro ALPINESTARS,default,1,short,Botas cortas s-mx 1.1 negro ALPINESTARS,long,long selection description,products/414-botas-cortas-s-mx-1-1-negro-alpinestars-1.jpg,MXN,1,5819,5819,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
